 Populating box and setting intial velocities
 Beginning Simulation:           50 steps, with           10 particles.
  0.410267323       1.45249152       4.10229158       7.94803143    
   2.05664039       1.75154078      -6.07194853       6.56745338    
   2.93190122       4.56222868      -4.64580107      -7.64307117    
   3.68104815      0.931499243      -4.73778105       7.58639812    
   3.29596090      0.930917203     -0.597853720       8.92426872    
   2.91963744       3.76162887       8.32207584       3.27766013    
   3.64595127       3.31133533      -5.84882736       6.76692104    
   2.76172638       4.08495426       6.81730604       5.79002094    
   1.60584581       1.08219457       2.93581605       8.44872665    
   3.48996115       4.61465168       3.26768756       8.32599640    
 Step            0 complete
  0.820496500       2.24729466       4.10229158       7.94803143    
   1.44944549       2.40828609      -6.07194853       6.56745338    
   2.46732116       3.79792166      -4.64580107      -7.64307117    
   3.20727015       1.69013906      -4.73778105       7.58639812    
   3.23617554       1.82334411     -0.597853720       8.92426872    
   3.75184512       4.08939505       8.32207584       3.27766013    
   3.06106853       3.98802733      -5.84882736       6.76692104    
   3.44345689       4.66395617       6.81730604       5.79002094    
   1.89942741       1.92706728       2.93581605       8.44872665    
   3.81673002       4.55274868       3.26768756      -8.32599640    
 Step            1 complete
   1.23072565       3.04209781       4.10229158       7.94803143    
  0.842250645       3.06503153      -6.07194853       6.56745338    
   2.00274110       3.03361464      -4.64580107      -7.64307117    
   2.73349214       2.44877887      -4.73778105       7.58639812    
   3.17639017       2.71577096     -0.597853720       8.92426872    
   4.58405256       4.41716099       8.32207584       3.27766013    
   2.47618580       4.66471958      -5.84882736       6.76692104    
   4.12518740       4.75704193       6.81730604      -5.79002094    
   2.19300914       2.77193999       2.93581605       8.44872665    
   4.14349890       3.72014904       3.26768756      -8.32599640    
 Step            2 complete
   1.64095485       3.83690095       4.10229158       7.94803143    
  0.235055789       3.72177696      -6.07194853       6.56745338    
   1.53816104       2.26930761      -4.64580107      -7.64307117    
   2.25971413       3.20741868      -4.73778105       7.58639812    
   3.11660480       3.60819793     -0.597853720       8.92426872    
   4.58373976       4.74492693      -8.32207584       3.27766013    
   1.89130306       4.65858841      -5.84882736      -6.76692104    
